locus_tag	kegg_pathway_id	kegg_pathway
SPy_1292	spy00500	Starch and sucrose metabolism
SPy_1302	spy00500	Starch and sucrose metabolism
SPy_1304	spy00500	Starch and sucrose metabolism
SPy_1323	spy00500	Starch and sucrose metabolism
SPy_1324	spy00500	Starch and sucrose metabolism
SPy_1328	spy00500	Starch and sucrose metabolism
SPy_1529	spy00500	Starch and sucrose metabolism
SPy_1599	spy00500	Starch and sucrose metabolism
SPy_1811	spy00500	Starch and sucrose metabolism
SPy_1815	spy00500	Starch and sucrose metabolism
SPy_1816	spy00500	Starch and sucrose metabolism
SPy_1985	spy00500	Starch and sucrose metabolism
SPy_1986	spy00500	Starch and sucrose metabolism
SPy_2050	spy00500	Starch and sucrose metabolism
SPy_2051	spy00500	Starch and sucrose metabolism
SPy_2052	spy00500	Starch and sucrose metabolism
SPy_2096	spy00500	Starch and sucrose metabolism
SPy_2097	spy00500	Starch and sucrose metabolism
SPy_2202	spy00500	Starch and sucrose metabolism
SPy_1586	spy00511	Other glycan degradation
SPy_1604	spy00511	Other glycan degradation
SPy_0215	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_0224	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_0251	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_0257	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_0443	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_0542	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_0763	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1038	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1057	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1059	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1060	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1101	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1224	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1280	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1358	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1399	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1503	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1529	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1694	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1738	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1739	spy00520	Amino sugar and nucleotide sugar metabolism
SPy_1740	spy00520	Amino sugar and nucleotide sugar metabolism
